Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Nov 20, 2017",8:30p,Boston Celtics,110,Dallas Mavericks,102,Box Score,OT,"20,302",
"Mon, Nov 20, 2017",8:30p,Atlanta Hawks,85,San Antonio Spurs,96,Box Score,,"18,418",
"Mon, Nov 20, 2017",10:00p,Denver Nuggets,114,Sacramento Kings,98,Box Score,,"17,583",
"Tue, Nov 21, 2017",10:30p,Chicago Bulls,94,Los Angeles Lakers,103,Box Score,,"18,997",
"Wed, Nov 22, 2017",7:00p,Washington Wizards,124,Charlotte Hornets,129,Box Score,OT,"16,041",
"Wed, Nov 22, 2017",7:00p,Brooklyn Nets,109,Cleveland Cavaliers,119,Box Score,,"20,562",
"Wed, Nov 22, 2017",7:00p,Portland Trail Blazers,81,Philadelphia 76ers,101,Box Score,,"20,605",
"Wed, Nov 22, 2017",7:30p,Los Angeles Clippers,116,Atlanta Hawks,103,Box Score,,"12,675",
"Wed, Nov 22, 2017",7:30p,Boston Celtics,98,Miami Heat,104,Box Score,,"19,704",
"Wed, Nov 22, 2017",7:30p,Toronto Raptors,100,New York Knicks,108,Box Score,,"19,812",
"Wed, Nov 22, 2017",8:00p,Denver Nuggets,95,Houston Rockets,125,Box Score,,"18,055",
"Wed, Nov 22, 2017",8:00p,Dallas Mavericks,95,Memphis Grizzlies,94,Box Score,,"16,101",
"Wed, Nov 22, 2017",8:00p,Orlando Magic,118,Minnesota Timberwolves,124,Box Score,,"16,402",
"Wed, Nov 22, 2017",8:00p,San Antonio Spurs,90,New Orleans Pelicans,107,Box Score,,"17,539",
"Wed, Nov 22, 2017",8:00p,Golden State Warriors,91,Oklahoma City Thunder,108,Box Score,,"18,203",
"Wed, Nov 22, 2017",9:00p,Milwaukee Bucks,113,Phoenix Suns,107,Box Score,OT,"16,270",
"Wed, Nov 22, 2017",9:00p,Chicago Bulls,80,Utah Jazz,110,Box Score,,"17,434",
"Wed, Nov 22, 2017",10:30p,Los Angeles Lakers,102,Sacramento Kings,113,Box Score,,"17,583",
"Fri, Nov 24, 2017",12:00p,Portland Trail Blazers,127,Brooklyn Nets,125,Box Score,,"15,246",
"Fri, Nov 24, 2017",7:30p,New York Knicks,104,Atlanta Hawks,116,Box Score,,"14,355",
"Fri, Nov 24, 2017",7:30p,Orlando Magic,103,Boston Celtics,118,Box Score,,"18,624",
"Fri, Nov 24, 2017",8:00p,Charlotte Hornets,99,Cleveland Cavaliers,100,Box Score,,"20,562",
"Fri, Nov 24, 2017",8:00p,Toronto Raptors,104,Indiana Pacers,107,Box Score,,"16,523",
"Fri, Nov 24, 2017",8:00p,Miami Heat,109,Minnesota Timberwolves,97,Box Score,,"18,978",
"Fri, Nov 24, 2017",8:00p,Detroit Pistons,99,Oklahoma City Thunder,98,Box Score,,"18,203",
"Fri, Nov 24, 2017",9:00p,Memphis Grizzlies,92,Denver Nuggets,104,Box Score,,"16,736",
"Fri, Nov 24, 2017",9:00p,New Orleans Pelicans,115,Phoenix Suns,91,Box Score,,"16,574",
"Fri, Nov 24, 2017",10:30p,Chicago Bulls,94,Golden State Warriors,143,Box Score,,"19,596",
"Sat, Nov 25, 2017",7:00p,San Antonio Spurs,106,Charlotte Hornets,86,Box Score,,"18,597",
"Sat, Nov 25, 2017",7:00p,Orlando Magic,111,Philadelphia 76ers,130,Box Score,,"20,585",
"Sat, Nov 25, 2017",7:00p,Portland Trail Blazers,108,Washington Wizards,105,Box Score,,"18,092",
"Sat, Nov 25, 2017",7:30p,Toronto Raptors,112,Atlanta Hawks,78,Box Score,,"12,278",
"Sat, Nov 25, 2017",8:00p,New York Knicks,102,Houston Rockets,117,Box Score,,"18,055",
"Sat, Nov 25, 2017",8:00p,Boston Celtics,108,Indiana Pacers,98,Box Score,,"16,303",
"Sat, Nov 25, 2017",8:30p,Oklahoma City Thunder,81,Dallas Mavericks,97,Box Score,,"20,340",
"Sat, Nov 25, 2017",8:30p,New Orleans Pelicans,95,Golden State Warriors,110,Box Score,,"19,596",
"Sat, Nov 25, 2017",9:00p,Milwaukee Bucks,108,Utah Jazz,121,Box Score,,"17,298",
"Sat, Nov 25, 2017",10:00p,Los Angeles Clippers,97,Sacramento Kings,95,Box Score,,"17,583",
"Sun, Nov 26, 2017",3:30p,Miami Heat,100,Chicago Bulls,93,Box Score,,"20,928",
"Sun, Nov 26, 2017",3:30p,Phoenix Suns,108,Minnesota Timberwolves,119,Box Score,,"16,448",
"Sun, Nov 26, 2017",6:00p,Brooklyn Nets,98,Memphis Grizzlies,88,Box Score,,"14,889",
"Mon, Nov 27, 2017",7:00p,Orlando Magic,109,Indiana Pacers,121,Box Score,,"12,501",
"Mon, Nov 27, 2017",7:00p,Cleveland Cavaliers,113,Philadelphia 76ers,91,Box Score,,"20,527",
"Mon, Nov 27, 2017",7:30p,Detroit Pistons,118,Boston Celtics,108,Box Score,,"18,624",
"Mon, Nov 27, 2017",7:30p,Portland Trail Blazers,103,New York Knicks,91,Box Score,,"18,409",
"Mon, Nov 27, 2017",8:00p,Brooklyn Nets,103,Houston Rockets,117,Box Score,,"16,189",
"Mon, Nov 27, 2017",8:30p,Dallas Mavericks,108,San Antonio Spurs,115,Box Score,,"17,918",
"Mon, Nov 27, 2017",10:30p,Sacramento Kings,110,Golden State Warriors,106,Box Score,,"19,596",
"Mon, Nov 27, 2017",10:30p,Los Angeles Lakers,115,Los Angeles Clippers,120,Box Score,,"18,086",
"Tue, Nov 28, 2017",7:00p,Miami Heat,97,Cleveland Cavaliers,108,Box Score,,"20,562",
"Tue, Nov 28, 2017",8:00p,Phoenix Suns,104,Chicago Bulls,99,Box Score,,"18,324",
"Tue, Nov 28, 2017",8:00p,Washington Wizards,92,Minnesota Timberwolves,89,Box Score,,"13,442",
"Tue, Nov 28, 2017",10:00p,Milwaukee Bucks,112,Sacramento Kings,87,Box Score,,"17,583",
"Tue, Nov 28, 2017",10:00p,Denver Nuggets,77,Utah Jazz,106,Box Score,,"16,790",
"Wed, Nov 29, 2017",7:00p,Phoenix Suns,107,Detroit Pistons,131,Box Score,,"18,096",
"Wed, Nov 29, 2017",7:00p,Oklahoma City Thunder,108,Orlando Magic,121,Box Score,,"17,797",
"Wed, Nov 29, 2017",7:00p,Washington Wizards,113,Philadelphia 76ers,118,Box Score,,"20,492",
"Wed, Nov 29, 2017",7:30p,Miami Heat,86,New York Knicks,115,Box Score,,"17,693",
"Wed, Nov 29, 2017",7:30p,Charlotte Hornets,113,Toronto Raptors,126,Box Score,,"19,800",
"Wed, Nov 29, 2017",8:00p,Indiana Pacers,97,Houston Rockets,118,Box Score,,"16,760",
"Wed, Nov 29, 2017",8:00p,Minnesota Timberwolves,120,New Orleans Pelicans,102,Box Score,,"15,555",
"Wed, Nov 29, 2017",8:30p,Brooklyn Nets,109,Dallas Mavericks,104,Box Score,,"19,327",
"Wed, Nov 29, 2017",8:30p,Memphis Grizzlies,95,San Antonio Spurs,104,Box Score,,"18,013",
"Wed, Nov 29, 2017",10:30p,Golden State Warriors,127,Los Angeles Lakers,123,Box Score,OT,"18,997",
"Thu, Nov 30, 2017",7:30p,Cleveland Cavaliers,121,Atlanta Hawks,114,Box Score,,"16,379",
"Thu, Nov 30, 2017",7:30p,Philadelphia 76ers,97,Boston Celtics,108,Box Score,,"18,624",
"Thu, Nov 30, 2017",9:00p,Chicago Bulls,110,Denver Nuggets,111,Box Score,,"15,156",
"Thu, Nov 30, 2017",10:00p,Milwaukee Bucks,103,Portland Trail Blazers,91,Box Score,,"19,459",
"Thu, Nov 30, 2017",10:30p,Utah Jazz,126,Los Angeles Clippers,107,Box Score,,"15,139",
"Fri, Dec 1, 2017",7:00p,Golden State Warriors,133,Orlando Magic,112,Box Score,,"18,846",
"Fri, Dec 1, 2017",7:00p,Detroit Pistons,91,Washington Wizards,109,Box Score,,"17,885",
"Fri, Dec 1, 2017",7:30p,Indiana Pacers,115,Toronto Raptors,120,Box Score,,"19,800",
"Fri, Dec 1, 2017",8:00p,Sacramento Kings,107,Chicago Bulls,106,Box Score,,"19,268",
"Fri, Dec 1, 2017",8:00p,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,"16,413",
"Fri, Dec 1, 2017",8:00p,Charlotte Hornets,100,Miami Heat,105,Box Score,,"19,600",
"Fri, Dec 1, 2017",8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,"18,203",
"Fri, Dec 1, 2017",9:00p,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,"17,725",
"Sat, Dec 2, 2017",1:00p,Phoenix Suns,111,Boston Celtics,116,Box Score,,"18,624",
"Sat, Dec 2, 2017",2:00p,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,"19,245",
"Sat, Dec 2, 2017",3:00p,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,"13,949",
"Sat, Dec 2, 2017",7:30p,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,"20,562",
"Sat, Dec 2, 2017",7:30p,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,"20,562",
"Sat, Dec 2, 2017",8:30p,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,"15,581",
"Sat, Dec 2, 2017",9:00p,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,"19,520",
"Sat, Dec 2, 2017",10:00p,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,"18,730",
"Sun, Dec 3, 2017",3:30p,Orlando Magic,105,New York Knicks,100,Box Score,,"19,082",
"Sun, Dec 3, 2017",7:00p,Golden State Warriors,123,Miami Heat,95,Box Score,,"19,600",
"Sun, Dec 3, 2017",7:00p,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,"13,172",
"Sun, Dec 3, 2017",7:00p,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,"18,203",
"Sun, Dec 3, 2017",9:30p,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,"18,997",
"Mon, Dec 4, 2017",7:00p,Orlando Magic,94,Charlotte Hornets,104,Box Score,,"14,419",
"Mon, Dec 4, 2017",7:00p,New York Knicks,97,Indiana Pacers,115,Box Score,,"12,018",
"Mon, Dec 4, 2017",7:00p,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,"20,564",
"Mon, Dec 4, 2017",7:30p,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,"12,056",
"Mon, Dec 4, 2017",7:30p,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,"18,624",
"Mon, Dec 4, 2017",8:00p,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,"21,323",
"Mon, Dec 4, 2017",8:00p,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,"14,012",
"Mon, Dec 4, 2017",8:00p,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,"17,004",
"Mon, Dec 4, 2017",8:30p,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,"19,419",
"Mon, Dec 4, 2017",8:30p,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,"18,288",
"Mon, Dec 4, 2017",9:00p,Washington Wizards,69,Utah Jazz,116,Box Score,,"17,227",
"Tue, Dec 5, 2017",7:30p,Phoenix Suns,113,Toronto Raptors,126,Box Score,,"19,800",
"Tue, Dec 5, 2017",8:00p,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,"18,203",
"Tue, Dec 5, 2017",10:00p,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,"19,241",
"Wed, Dec 6, 2017",7:00p,Sacramento Kings,95,Cleveland Cavaliers,101,Box Score,,"20,562",
"Wed, Dec 6, 2017",7:00p,Chicago Bulls,96,Indiana Pacers,98,Box Score,,"13,013",
"Wed, Dec 6, 2017",7:00p,Atlanta Hawks,106,Orlando Magic,110,Box Score,OT,"16,167",
"Wed, Dec 6, 2017",7:30p,Dallas Mavericks,90,Boston Celtics,97,Box Score,,"18,624",
"Wed, Dec 6, 2017",7:30p,Memphis Grizzlies,88,New York Knicks,99,Box Score,,"19,812",
"Wed, Dec 6, 2017",8:00p,Golden State Warriors,101,Charlotte Hornets,87,Box Score,,"19,334",
"Wed, Dec 6, 2017",8:00p,Detroit Pistons,100,Milwaukee Bucks,104,Box Score,,"15,841",
"Wed, Dec 6, 2017",8:00p,Denver Nuggets,114,New Orleans Pelicans,123,Box Score,,"15,353",
"Wed, Dec 6, 2017",8:30p,Miami Heat,105,San Antonio Spurs,117,Box Score,,"18,252",
"Wed, Dec 6, 2017",10:30p,Minnesota Timberwolves,113,Los Angeles Clippers,107,Box Score,,"15,951",
"Thu, Dec 7, 2017",8:00p,Los Angeles Lakers,107,Philadelphia 76ers,104,Box Score,,"20,495",
"Thu, Dec 7, 2017",9:00p,Washington Wizards,109,Phoenix Suns,99,Box Score,,"15,925",
"Thu, Dec 7, 2017",10:00p,Oklahoma City Thunder,95,Brooklyn Nets,100,Box Score,,"20,562",
"Thu, Dec 7, 2017",10:30p,Houston Rockets,112,Utah Jazz,101,Box Score,,"18,306",
"Fri, Dec 8, 2017",7:00p,Chicago Bulls,119,Charlotte Hornets,111,Box Score,OT,"14,077",
"Fri, Dec 8, 2017",7:00p,Golden State Warriors,102,Detroit Pistons,98,Box Score,,"20,491",
"Fri, Dec 8, 2017",7:00p,Cleveland Cavaliers,102,Indiana Pacers,106,Box Score,,"17,032",
"Fri, Dec 8, 2017",7:00p,Denver Nuggets,103,Orlando Magic,89,Box Score,,"16,024",
"Fri, Dec 8, 2017",8:00p,Toronto Raptors,116,Memphis Grizzlies,107,Box Score,,"15,417",
"Fri, Dec 8, 2017",8:00p,Dallas Mavericks,102,Milwaukee Bucks,109,Box Score,,"15,889",
"Fri, Dec 8, 2017",8:00p,Sacramento Kings,116,New Orleans Pelicans,109,Box Score,OT,"15,019",
"Fri, Dec 8, 2017",9:30p,Boston Celtics,102,San Antonio Spurs,105,Box Score,,"18,418",
"Sat, Dec 9, 2017",3:30p,Washington Wizards,112,Los Angeles Clippers,113,Box Score,,"15,739",
"Sat, Dec 9, 2017",6:00p,Miami Heat,101,Brooklyn Nets,89,Box Score,,"19,777",
"Sat, Dec 9, 2017",7:00p,Los Angeles Lakers,110,Charlotte Hornets,99,Box Score,,"19,320",
"Sat, Dec 9, 2017",7:30p,Orlando Magic,110,Atlanta Hawks,117,Box Score,,"12,719",
"Sat, Dec 9, 2017",8:00p,New York Knicks,102,Chicago Bulls,104,Box Score,,"20,149",
"Sat, Dec 9, 2017",8:00p,Philadelphia 76ers,98,Cleveland Cavaliers,105,Box Score,,"20,562",
"Sat, Dec 9, 2017",8:30p,Utah Jazz,100,Milwaukee Bucks,117,Box Score,,"16,675",
"Sat, Dec 9, 2017",9:00p,Oklahoma City Thunder,102,Memphis Grizzlies,101,Box Score,OT,"17,794",
"Sat, Dec 9, 2017",9:00p,San Antonio Spurs,104,Phoenix Suns,101,Box Score,,"16,575",
"Sat, Dec 9, 2017",10:00p,Houston Rockets,124,Portland Trail Blazers,117,Box Score,,"19,503",
"Sun, Dec 10, 2017",3:30p,Toronto Raptors,102,Sacramento Kings,87,Box Score,,"17,583",
"Sun, Dec 10, 2017",4:00p,Boston Celtics,91,Detroit Pistons,81,Box Score,,"18,776",
"Sun, Dec 10, 2017",5:00p,Denver Nuggets,116,Indiana Pacers,126,Box Score,OT,"14,587",
"Sun, Dec 10, 2017",7:00p,Dallas Mavericks,92,Minnesota Timberwolves,97,Box Score,,"13,094",
"Sun, Dec 10, 2017",7:00p,Philadelphia 76ers,124,New Orleans Pelicans,131,Box Score,,"16,878",
"Sun, Dec 10, 2017",7:30p,Atlanta Hawks,107,New York Knicks,111,Box Score,,"19,189",
"Mon, Dec 11, 2017",8:00p,Boston Celtics,85,Chicago Bulls,108,Box Score,,"19,617",
"Mon, Dec 11, 2017",8:00p,New Orleans Pelicans,123,Houston Rockets,130,Box Score,,"18,055",
"Mon, Dec 11, 2017",8:00p,Miami Heat,107,Memphis Grizzlies,82,Box Score,,"14,857",
"Mon, Dec 11, 2017",8:00p,Charlotte Hornets,116,Oklahoma City Thunder,103,Box Score,,"18,203",
"Mon, Dec 11, 2017",10:30p,Portland Trail Blazers,104,Golden State Warriors,111,Box Score,,"19,596",
"Mon, Dec 11, 2017",10:30p,Toronto Raptors,91,Los Angeles Clippers,96,Box Score,,"16,658",
"Tue, Dec 12, 2017",7:00p,Atlanta Hawks,114,Cleveland Cavaliers,123,Box Score,,"20,562",
"Tue, Dec 12, 2017",7:00p,Denver Nuggets,103,Detroit Pistons,84,Box Score,,"15,480",
"Tue, Dec 12, 2017",7:00p,Los Angeles Lakers,109,New York Knicks,113,Box Score,OT,"19,359",
"Tue, Dec 12, 2017",7:30p,Washington Wizards,98,Brooklyn Nets,103,Box Score,,"14,515",
"Tue, Dec 12, 2017",8:30p,San Antonio Spurs,89,Dallas Mavericks,95,Box Score,,"19,874",
"Tue, Dec 12, 2017",9:30p,Philadelphia 76ers,118,Minnesota Timberwolves,112,Box Score,OT,"14,659",
"Tue, Dec 12, 2017",10:00p,Phoenix Suns,92,Sacramento Kings,99,Box Score,,"17,583",
"Wed, Dec 13, 2017",7:00p,Oklahoma City Thunder,100,Indiana Pacers,95,Box Score,,"17,923",
"Wed, Dec 13, 2017",7:00p,Los Angeles Clippers,106,Orlando Magic,95,Box Score,,"16,011",
"Wed, Dec 13, 2017",7:00p,Memphis Grizzlies,87,Washington Wizards,93,Box Score,,"15,297",
"Wed, Dec 13, 2017",7:30p,Denver Nuggets,118,Boston Celtics,124,Box Score,,"18,624",
"Wed, Dec 13, 2017",7:30p,Portland Trail Blazers,102,Miami Heat,95,Box Score,,"19,600",
"Wed, Dec 13, 2017",8:00p,Utah Jazz,100,Chicago Bulls,103,Box Score,,"18,102",
"Wed, Dec 13, 2017",8:00p,Milwaukee Bucks,108,New Orleans Pelicans,115,Box Score,,"16,863",
"Wed, Dec 13, 2017",9:00p,Toronto Raptors,115,Phoenix Suns,109,Box Score,,"15,517",
"Wed, Dec 13, 2017",9:30p,Charlotte Hornets,96,Houston Rockets,108,Box Score,,"16,509",
"Thu, Dec 14, 2017",7:30p,Detroit Pistons,105,Atlanta Hawks,91,Box Score,,"13,548",
"Thu, Dec 14, 2017",7:30p,New York Knicks,111,Brooklyn Nets,104,Box Score,,"17,732",
"Thu, Dec 14, 2017",8:00p,Los Angeles Lakers,112,Cleveland Cavaliers,121,Box Score,,"20,562",
"Thu, Dec 14, 2017",8:00p,Sacramento Kings,96,Minnesota Timberwolves,119,Box Score,,"11,126",
"Thu, Dec 14, 2017",10:30p,Dallas Mavericks,97,Golden State Warriors,112,Box Score,,"19,596",
"Fri, Dec 15, 2017",7:00p,Miami Heat,104,Charlotte Hornets,98,Box Score,,"15,565",
"Fri, Dec 15, 2017",7:00p,Detroit Pistons,104,Indiana Pacers,98,Box Score,,"14,687",
"Fri, Dec 15, 2017",7:00p,Portland Trail Blazers,95,Orlando Magic,88,Box Score,,"16,963",
"Fri, Dec 15, 2017",7:00p,Oklahoma City Thunder,119,Philadelphia 76ers,117,Box Score,3OT,"20,612",
"Fri, Dec 15, 2017",7:00p,Los Angeles Clippers,91,Washington Wizards,100,Box Score,,"15,442",
"Fri, Dec 15, 2017",7:30p,Utah Jazz,107,Boston Celtics,95,Box Score,,"18,624",
"Fri, Dec 15, 2017",7:30p,Brooklyn Nets,87,Toronto Raptors,120,Box Score,,"19,800",
"Fri, Dec 15, 2017",8:00p,Atlanta Hawks,94,Memphis Grizzlies,96,Box Score,,"15,803",
"Fri, Dec 15, 2017",8:00p,Chicago Bulls,115,Milwaukee Bucks,109,Box Score,,"16,921",
"Fri, Dec 15, 2017",9:00p,New Orleans Pelicans,111,Denver Nuggets,117,Box Score,OT,"17,584",
"Fri, Dec 15, 2017",9:30p,San Antonio Spurs,109,Houston Rockets,124,Box Score,,"18,055",
"Sat, Dec 16, 2017",7:00p,Portland Trail Blazers,93,Charlotte Hornets,91,Box Score,,"16,687",
"Sat, Dec 16, 2017",7:30p,Utah Jazz,100,Cleveland Cavaliers,109,Box Score,,"20,562",
"Sat, Dec 16, 2017",7:30p,Oklahoma City Thunder,96,New York Knicks,111,Box Score,,"19,812",
"Sat, Dec 16, 2017",8:00p,Milwaukee Bucks,111,Houston Rockets,115,Box Score,,"18,055",
"Sat, Dec 16, 2017",8:00p,Los Angeles Clippers,85,Miami Heat,90,Box Score,,"19,600",
"Sat, Dec 16, 2017",8:00p,Phoenix Suns,108,Minnesota Timberwolves,106,Box Score,,"18,109",
"Sat, Dec 16, 2017",8:30p,Dallas Mavericks,96,San Antonio Spurs,98,Box Score,,"18,418",
"Sat, Dec 16, 2017",9:00p,Boston Celtics,102,Memphis Grizzlies,93,Box Score,,"17,794",
"Sun, Dec 17, 2017",3:30p,Sacramento Kings,93,Toronto Raptors,108,Box Score,,"19,800",
"Sun, Dec 17, 2017",4:00p,Orlando Magic,110,Detroit Pistons,114,Box Score,,"16,312",
"Sun, Dec 17, 2017",6:00p,Indiana Pacers,109,Brooklyn Nets,97,Box Score,,"13,934",
"Sun, Dec 17, 2017",6:00p,Cleveland Cavaliers,106,Washington Wizards,99,Box Score,,"20,356",
"Mon, Dec 18, 2017",7:00p,New York Knicks,91,Charlotte Hornets,109,Box Score,,"15,386",
"Mon, Dec 18, 2017",7:00p,Boston Celtics,112,Indiana Pacers,111,Box Score,,"16,055",
"Mon, Dec 18, 2017",7:30p,Miami Heat,104,Atlanta Hawks,110,Box Score,,"14,227",
"Mon, Dec 18, 2017",8:00p,Philadelphia 76ers,115,Chicago Bulls,117,Box Score,,"20,796",
"Mon, Dec 18, 2017",8:00p,Utah Jazz,99,Houston Rockets,120,Box Score,,"18,055",
"Mon, Dec 18, 2017",8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,108,Box Score,,"14,187",
"Mon, Dec 18, 2017",8:00p,Denver Nuggets,94,Oklahoma City Thunder,95,Box Score,,"18,203",
"Mon, Dec 18, 2017",8:30p,Phoenix Suns,97,Dallas Mavericks,91,Box Score,,"19,245",
"Mon, Dec 18, 2017",8:30p,Los Angeles Clippers,91,San Antonio Spurs,109,Box Score,,"18,418",
"Mon, Dec 18, 2017",10:30p,Golden State Warriors,116,Los Angeles Lakers,114,Box Score,OT,"18,997",
"Tue, Dec 19, 2017",7:00p,Sacramento Kings,101,Philadelphia 76ers,95,Box Score,,"20,558",
"Tue, Dec 19, 2017",7:00p,New Orleans Pelicans,106,Washington Wizards,116,Box Score,,"16,529",
"Tue, Dec 19, 2017",8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,119,Box Score,,"18,717",
"Wed, Dec 20, 2017",7:00p,Toronto Raptors,129,Charlotte Hornets,111,Box Score,,"15,023",
"Wed, Dec 20, 2017",7:30p,Indiana Pacers,105,Atlanta Hawks,95,Box Score,,"14,830",
"Wed, Dec 20, 2017",7:30p,Miami Heat,90,Boston Celtics,89,Box Score,,"18,624",
"Wed, Dec 20, 2017",7:30p,Sacramento Kings,104,Brooklyn Nets,99,Box Score,,"13,179",
"Wed, Dec 20, 2017",8:00p,Orlando Magic,94,Chicago Bulls,112,Box Score,,"20,285",
"Wed, Dec 20, 2017",8:00p,Los Angeles Lakers,122,Houston Rockets,116,Box Score,,"18,055",
"Wed, Dec 20, 2017",8:00p,Utah Jazz,79,Oklahoma City Thunder,107,Box Score,,"18,203",
"Wed, Dec 20, 2017",8:30p,Detroit Pistons,93,Dallas Mavericks,110,Box Score,,"19,580",
"Wed, Dec 20, 2017",9:00p,Minnesota Timberwolves,112,Denver Nuggets,104,Box Score,,"17,002",
"Wed, Dec 20, 2017",10:00p,San Antonio Spurs,93,Portland Trail Blazers,91,Box Score,,"19,393",
"Wed, Dec 20, 2017",10:30p,Memphis Grizzlies,84,Golden State Warriors,97,Box Score,,"19,596",
"Wed, Dec 20, 2017",10:30p,Phoenix Suns,95,Los Angeles Clippers,108,Box Score,,"17,151",
"Thu, Dec 21, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,115,Box Score,,"20,562",
"Thu, Dec 21, 2017",7:00p,Toronto Raptors,114,Philadelphia 76ers,109,Box Score,,"20,680",
"Thu, Dec 21, 2017",8:00p,Boston Celtics,93,New York Knicks,102,Box Score,,"19,812",
"Thu, Dec 21, 2017",9:00p,Memphis Grizzlies,95,Phoenix Suns,97,Box Score,,"16,339",
"Thu, Dec 21, 2017",10:30p,San Antonio Spurs,89,Utah Jazz,100,Box Score,,"18,306",
"Fri, Dec 22, 2017",7:00p,New York Knicks,101,Detroit Pistons,104,Box Score,,"16,922",
"Fri, Dec 22, 2017",7:00p,New Orleans Pelicans,111,Orlando Magic,97,Box Score,,"18,846",
"Fri, Dec 22, 2017",7:30p,Washington Wizards,84,Brooklyn Nets,119,Box Score,,"15,589",
"Fri, Dec 22, 2017",8:00p,Los Angeles Clippers,128,Houston Rockets,118,Box Score,,"18,055",
"Fri, Dec 22, 2017",8:00p,Dallas Mavericks,101,Miami Heat,113,Box Score,,"19,600",
"Fri, Dec 22, 2017",8:00p,Charlotte Hornets,104,Milwaukee Bucks,109,Box Score,,"17,018",
"Fri, Dec 22, 2017",8:00p,Atlanta Hawks,117,Oklahoma City Thunder,120,Box Score,,"18,203",
"Fri, Dec 22, 2017",10:00p,Denver Nuggets,102,Portland Trail Blazers,85,Box Score,,"19,473",
"Fri, Dec 22, 2017",10:30p,Los Angeles Lakers,106,Golden State Warriors,113,Box Score,,"19,596",
"Sat, Dec 23, 2017",5:00p,Philadelphia 76ers,86,Toronto Raptors,102,Box Score,,"19,800",
"Sat, Dec 23, 2017",7:00p,Milwaukee Bucks,106,Charlotte Hornets,111,Box Score,,"18,363",
"Sat, Dec 23, 2017",7:00p,Brooklyn Nets,119,Indiana Pacers,123,Box Score,OT,"17,107",
"Sat, Dec 23, 2017",7:00p,Orlando Magic,103,Washington Wizards,130,Box Score,,"17,218",
"Sat, Dec 23, 2017",7:30p,Dallas Mavericks,107,Atlanta Hawks,112,Box Score,,"13,402",
"Sat, Dec 23, 2017",7:30p,Chicago Bulls,92,Boston Celtics,117,Box Score,,"18,624",
"Sat, Dec 23, 2017",8:00p,Los Angeles Clippers,112,Memphis Grizzlies,115,Box Score,,"16,844",
"Sat, Dec 23, 2017",8:00p,New Orleans Pelicans,109,Miami Heat,94,Box Score,,"19,600",
"Sat, Dec 23, 2017",8:00p,Oklahoma City Thunder,103,Utah Jazz,89,Box Score,,"18,306",
"Sat, Dec 23, 2017",8:30p,Denver Nuggets,96,Golden State Warriors,81,Box Score,,"19,596",
"Sat, Dec 23, 2017",9:00p,Minnesota Timberwolves,115,Phoenix Suns,106,Box Score,,"16,482",
"Sat, Dec 23, 2017",9:30p,Portland Trail Blazers,95,Los Angeles Lakers,92,Box Score,,"18,997",
"Sat, Dec 23, 2017",10:00p,San Antonio Spurs,108,Sacramento Kings,99,Box Score,,"17,583",
"Mon, Dec 25, 2017",12:00p,Philadelphia 76ers,105,New York Knicks,98,Box Score,,"19,812",
"Mon, Dec 25, 2017",3:00p,Cleveland Cavaliers,92,Golden State Warriors,99,Box Score,,"19,596",
"Mon, Dec 25, 2017",5:30p,Washington Wizards,111,Boston Celtics,103,Box Score,,"18,624",
"Mon, Dec 25, 2017",8:00p,Houston Rockets,107,Oklahoma City Thunder,112,Box Score,,"18,203",
"Mon, Dec 25, 2017",10:30p,Minnesota Timberwolves,121,Los Angeles Lakers,104,Box Score,,"18,997",
"Tue, Dec 26, 2017",7:00p,Toronto Raptors,93,Dallas Mavericks,98,Box Score,,"20,005",
"Tue, Dec 26, 2017",7:00p,Indiana Pacers,83,Detroit Pistons,107,Box Score,,"20,491",
"Tue, Dec 26, 2017",7:30p,Orlando Magic,89,Miami Heat,107,Box Score,,"19,600",
